,question,is_evergreen,English,Russian,French,German,Hebrew,Arabic,Chinese
84,What is the population of Egypt?,0,What is the population of Egypt?,Каково население Египта?,Quelle est la population de l'Égypte ?,Wie hoch ist die Bevölkerung Ägyptens?,מהו מספר האוכלוסייה של מצרים?,ما هو عدد سكان مصر؟,埃及的人口是多少？
85,Who is the CEO of Tesla?,0,Who is the CEO of Tesla?,Кто является генеральным директором Tesla?,Qui est le PDG de Tesla ?,Wer ist der CEO von Tesla?,"מי המנכ""ל של טסלה?",من هو الرئيس التنفيذي لشركة تسلا؟,特斯拉的首席执行官是谁？
86,What is the global average income?,0,What is the global average income?,Каков средний мировой доход?,Quel est le revenu moyen mondial ?,Wie hoch ist das weltweite Durchschnittseinkommen?,מהו ההכנסה הממוצעת העולמית?,ما هو متوسط الدخل العالمي؟,全球平均收入是多少？
87,What is the population of France?,0,What is the population of France?,Население Франции?,Quelle est la population de la France ?,Wie hoch ist die Bevölkerung Frankreichs?,מהו מספר האוכלוסייה של צרפת?,ما هو عدد سكان فرنسا؟,法国的人口是多少？
88,Who is the President of Russia?,0,Who is the President of Russia?,Кто является президентом России?,Qui est le président de la Russie ?,Wer ist der Präsident von Russland?,מיהו נשיא רוסיה?,من هو رئيس روسيا؟,谁是俄罗斯总统？
89,What is the global obesity rate?,0,What is the global obesity rate?,Каков глобальный уровень ожирения?,Quel est le taux d'obésité mondial ?,Wie hoch ist die weltweite Fettleibigkeitsrate?,מהו שיעור ההשמנה העולמי?,ما هو معدل السمنة العالمي؟,全球肥胖率是多少？
90,What is the population of Nigeria?,0,What is the population of Nigeria?,Каков население Нигерии?,Quelle est la population du Nigeria ?,Wie hoch ist die Bevölkerung Nigerias?,מהו מספר האוכלוסייה של ניגריה?,ما هو عدد سكان نيجيريا؟,尼日利亚的人口是多少？
91,Who is the CEO of Facebook (Meta)?,0,Who is the CEO of Facebook (Meta)?,Кто является генеральным директором Facebook (Meta)?,Qui est le PDG de Facebook (Meta) ?,Wer ist der CEO von Facebook (Meta)?,"מי המנכ""ל של פייסבוק (מטא)?",من هو الرئيس التنفيذي لفيسبوك (ميتا)؟,Facebook（Meta）的首席执行官是谁？
92,What is the global average age?,0,What is the global average age?,Каков средний возраст населения мира?,Quel est l'âge moyen mondial ?,Wie hoch ist das weltweite Durchschnittsalter?,מהו הגיל הממוצע העולמי?,ما هو متوسط العمر العالمي؟,全球的平均年龄是多少？
93,What is the population of Pakistan?,0,What is the population of Pakistan?,Каково население Пакистана?,Quelle est la population du Pakistan ?,Wie hoch ist die Bevölkerung Pakistans?,מהו מספר האוכלוסייה של פקיסטן?,ما هو عدد سكان باكستان؟,巴基斯坦的人口是多少？
94,Who is the Prime Minister of the United Kingdom?,0,Who is the Prime Minister of the United Kingdom?,Кто является премьер-министром Великобритании?,Qui est le Premier ministre du Royaume-Uni ?,Wer ist der Premierminister des Vereinigten Königreichs?,מי ראש ממשלת הממלכה המאוחדת?,من هو رئيس وزراء المملكة المتحدة؟,英国的首相是谁？
95,What is the global literacy rate for women?,0,What is the global literacy rate for women?,Каков глобальный уровень грамотности среди женщин?,Quel est le taux d'alphabétisation mondial des femmes ?,Wie hoch ist die weltweite Alphabetisierungsrate von Frauen?,מהו שיעור האוריינות העולמי של נשים?,ما هو معدل معرفة القراءة والكتابة العالمي للنساء؟,全球女性的识字率是多少？
96,What is the population of Bangladesh?,0,What is the population of Bangladesh?,Каково население Бангладеш?,Quelle est la population du Bangladesh ?,Wie hoch ist die Bevölkerung von Bangladesch?,מהו מספר האוכלוסייה של בנגלדש?,ما هو عدد سكان بنغلاديش؟,孟加拉国的人口是多少？
97,Who is the CEO of Netflix?,0,Who is the CEO of Netflix?,Кто является генеральным директором Netflix?,Qui est le PDG de Netflix ?,Wer ist der CEO von Netflix?,"מי המנכ""ל של נטפליקס?",من هو الرئيس التنفيذي لشركة نتفليكس؟,谁是Netflix的首席执行官？
98,What is the global average education level?,0,What is the global average education level?,Каков средний уровень образования в мире?,Quel est le niveau moyen d'éducation dans le monde ?,Wie hoch ist das durchschnittliche Bildungsniveau weltweit?,מהו רמת ההשכלה הממוצעת בעולם?,ما هو متوسط مستوى التعليم العالمي؟,全球平均受教育水平是多少？
99,What is the population of the United States?,0,What is the population of the United States?,Каков население Соединенных Штатов?,Quelle est la population des États-Unis ?,Wie hoch ist die Bevölkerung der Vereinigten Staaten?,מהו מספר האוכלוסייה של ארצות הברית?,ما هو عدد سكان الولايات المتحدة؟,美国的人口是多少？
100,Who won the most recent Super Bowl?,0,Who won the most recent Super Bowl?,Кто выиграл последний Супербоул?,Qui a remporté le dernier Super Bowl ?,Wer hat den letzten Super Bowl gewonnen?,מי זכה בסופרבול האחרון?,من فاز بأحدث سوبر بول؟,最近一届超级碗冠军是谁？
101,What is the current global population?,0,What is the current global population?,Каково текущее мировое население?,Quelle est la population mondiale actuelle ?,Wie hoch ist die aktuelle Weltbevölkerung?,מהו מספר האוכלוסייה העולמית הנוכחי?,ما هو عدد سكان العالم الحالي؟,当前的全球人口是多少？
102,What is the most popular song right now?,0,What is the most popular song right now?,Какая самая популярная песня сейчас?,Quelle est la chanson la plus populaire en ce moment ?,Was ist gerade das beliebteste Lied?,מהו השיר הפופולרי ביותר כרגע?,ما هي الأغنية الأكثر شهرة الآن؟,现在最流行的歌曲是什么？
103,Who is the current U.S. President?,0,Who is the current U.S. President?,Кто является текущим президентом США?,Qui est l'actuel président des États-Unis ?,Wer ist der derzeitige Präsident der USA?,מיהו נשיא ארצות הברית הנוכחי?,من هو رئيس الولايات المتحدة الحالي؟,现任美国总统是谁？
104,What is the latest iPhone model?,0,What is the latest iPhone model?,Какая последняя модель iPhone?,Quel est le dernier modèle d’iPhone ?,Was ist das neueste iPhone-Modell?,מהו דגם האייפון העדכני ביותר?,ما هو أحدث طراز آيفون؟,最新的iPhone型号是什么？
105,What is the current price of Bitcoin?,0,What is the current price of Bitcoin?,Какова текущая цена Биткоина?,Quel est le prix actuel du Bitcoin ?,Wie hoch ist der aktuelle Preis von Bitcoin?,מהו המחיר הנוכחי של ביטקוין?,ما هو السعر الحالي للبيتكوين؟,比特币目前的价格是多少？
106,Who won the latest FIFA World Cup?,0,Who won the latest FIFA World Cup?,Кто выиграл последний чемпионат мира по футболу FIFA?,Qui a remporté la dernière Coupe du Monde de la FIFA ?,Wer hat die letzte FIFA-Weltmeisterschaft gewonnen?,מי זכה בגביע העולם האחרון של פיפ״א?,من فاز بكأس العالم الأخيرة للفيفا؟,谁赢得了最近一届国际足联世界杯？
