,is_evergreen,en_Answer,English,French,German,Hebrew,Arabic,Chinese,Russian
72,0,"Here are several airlines that fly from Russia to Georgia:
- Georgian Airways;
- Aeroflot;
- Ural Airlines;
- S7 Airlines;
- Turkish Airlines;
- Belavia and others.",Which airlines fly to Georgia?,Quelles compagnies aériennes desservent la Géorgie ?,Welche Fluggesellschaften fliegen nach Georgien?,אילו חברות תעופה טסות לגאורגיה?,ما هي شركات الطيران التي تسافر إلى جورجيا؟,哪些航空公司飞往格鲁吉亚？,Какие авиакомпании летают в Грузию?
73,1,"People respond to this question in different ways: some advise salting borscht closer to the end of cooking, others before adding vegetables, and others several times during the cooking process.",Do you need to add salt to borscht?,Faut-il ajouter du sel au bortsch ?,Muss man Salz zur Borschtsch hinzufügen?,האם צריך להוסיף מלח לבורשט?,هل يجب إضافة الملح إلى البورش؟,需要在罗宋汤里加盐吗？,Нужно ли солить борщ?
74,1,"MTS Travel is a travel service that allows booking accommodations, purchasing airplane, bus tickets, and more.",What is MTS Travel?,Qu'est-ce que MTS Travel ?,Was ist MTS Travel?,מה זה MTS Travel?,ما هي MTS Travel؟,什么是MTS Travel？,Что такое Мтс Тревел?
75,1,"The word ""magnificent"" means distinguished by luxurious beauty, sumptuous decoration, full of beauty and grandeur; solemn; making a strong impression with its appearance.",What does the word 'magnificent' mean?,Que signifie le mot 'magnificent' ?,Was bedeutet das Wort 'magnificent'?,מה פירוש המילה 'magnificent'?,ماذا تعني كلمة 'magnificent'؟,‘magnificent’ 这个词是什么意思？,Что значит слово «великолепный»?
76,1,"The stages of radio-electronic equipment design are as follows:
1. Development of the technical specification;
2. Analysis of technical proposals;
3. Preliminary design;
4. Design and manufacture of technological equipment;
5. Implementation and manufacture of radio-electronic equipment;
6. Its testing and debugging;
7. Implementation and operation of the equipment.",What are the stages of designing electronic equipment?,Quelles sont les étapes de la conception d’un équipement électronique ?,Welche Phasen gibt es bei der Entwicklung elektronischer Geräte?,מהם השלבים בתכנון ציוד אלקטרוני?,ما هي مراحل تصميم المعدات الإلكترونية؟,设计电子设备的阶段有哪些？,Какие есть этапы проектирования радиоэлектронной аппаратуры?
77,0,"The most famous graffiti by Banksy are ""Girl with a Balloon"", ""Love is in the Air"" (or ""Flower Thrower""), ""Girl with a Pierced Eardrum"", ""The Well-Hung Lover"", and ""Girl with a Flower"".",What are Banksy's most famous graffiti artworks?,Quelles sont les œuvres de graffiti les plus célèbres de Banksy ?,Was sind Banksys berühmteste Graffiti-Kunstwerke?,מהם ציורי הגרפיטי המפורסמים ביותר של בנקסי?,ما هي أشهر أعمال الجرافيتي التي قام بها بانكسي؟,班克西最著名的涂鸦作品有哪些？,Какие самые известные граффити у Бэнкси?
78,1,"In the Russian alphabet, there are 10 vowel letters: A, O, U, Y, E, Ya, Ye, Yo, I, Yu.",How many vowel letters are there in the alphabet?,Combien de lettres voyelles y a-t-il dans l'alphabet ?,Wie viele Vokalbuchstaben gibt es im Alphabet?,כמה אותיות ניקוד יש באלפבית?,كم عدد حروف العلة في الأبجدية؟,字母表中有多少个元音字母？,Сколько гласных букв в алфавите?
79,0,"The minimum wage in the Tomsk region in 2025 is 22,440 rubles.",What is the minimum wage in Tomsk Oblast?,Quel est le salaire minimum dans l'oblast de Tomsk ?,Wie hoch ist der Mindestlohn in der Oblast Tomsk?,מהו שכר המינימום במחוז טומסק?,ما هو الحد الأدنى للأجور في مقاطعة تومسك؟,托木斯克州的最低工资是多少？,Каков минимальный размер оплаты труда в Томской области?
80,1,Mikhail Gorbachev's height is 175 centimeters.,What is Mikhail Gorbachev's height?,Quelle est la taille de Mikhaïl Gorbatchev ?,Wie groß ist Michail Gorbatschow?,מה הגובה של מיכאיל גורבצ'וב?,ما هو طول ميخائيل غورباتشوف؟,米哈伊尔·戈尔巴乔夫的身高是多少？,Какой рост у Михаила Горбачёва?
81,1,From Moscow to Tver is 179 km by car (2 hours 14 minutes) and 162 km as the crow flies.,How many kilometers is it from Moscow to Tver?,Combien de kilomètres y a-t-il de Moscou à Tver ?,Wie viele Kilometer sind es von Moskau nach Twer?,כמה קילומטרים יש ממוסקבה לטבר?,كم عدد الكيلومترات من موسكو إلى تفير؟,从莫斯科到特维尔有多少公里？,Сколько километров от Москвы до Твери?
82,0,"Philipp Kirkorov has 24 ""Golden Gramophones"".",How many 'Golden Gramophone' awards does Kirkorov have?,Combien de prix 'Gramophone d'Or' Kirkorov a-t-il remportés ?,Wie viele 'Goldene Grammophon'-Auszeichnungen hat Kirkorov?,כמה פרסי 'גרמופון הזהב' יש לקרקורוב?,كم عدد جوائز 'الغراموفون الذهبي' التي يمتلكها كيركوروف؟,基尔科罗夫获得了多少个“金留声机”奖？,Сколько «Золотых граммофонов» у Киркорова?
83,1,Marilyn Monroe's favorite color is white.,What is Marilyn Monroe's favorite color?,Quelle est la couleur préférée de Marilyn Monroe ?,Was ist Marilyn Monroes Lieblingsfarbe?,מה הצבע האהוב על מרילין מונרו?,ما هو اللون المفضل لمارلين مونرو؟,玛丽莲·梦露最喜欢的颜色是什么？,Какой любимый цвет у Мэрилин Монро?
84,1,"In 1936, the authorities decided to rename some cities so that their names would be closer to the original pronunciation in the national language. That's how Tiflis became Tbilisi. The word ""Tbilisi"" comes from the root ""tbili"", which means ""warm"" in the Georgian language. The word ""Tiflis"", on the other hand, entered the Russian language from Greek and Byzantine sources.",Why did Stalin rename Tiflis to Tbilisi?,Pourquoi Staline a-t-il renommé Tiflis en Tbilissi ?,Warum benannte Stalin Tiflis in Tiflis um?,מדוע סטלין שינה את שמה של טביליסי מטיפליס?,لماذا غيّر ستالين اسم تفليس إلى تبليسي؟,斯大林为什么把第比利斯的名字从提弗利斯改为第比利斯？,Почему Сталин переименовал Тифлис в Тбилиси?
85,1,"Here are several species of mammals that inhabit spruce and fir forests: moose, bears, lynxes, deer, hares, squirrels, sables, ferrets, moles, voles, and others.",What mammals live in the fir forest?,Quels mammifères vivent dans la forêt de sapins ?,Welche Säugetiere leben im Tannenwald?,אילו יונקים חיים ביער האשוחים?,ما هي الثدييات التي تعيش في غابة أشجار التنوب؟,有哪些哺乳动物生活在冷杉林中？,Какие млекопитающие водятся в пихтовом лесу?
86,0,"The best hockey players, according to the International Ice Hockey Federation, in 2024 were recognized as Roman Červenka, Roman Josi, and Lukáš Dostál.",Which hockey players have been recognized as the best this year?,Quels joueurs de hockey ont été reconnus comme les meilleurs cette année ?,Welche Eishockeyspieler wurden dieses Jahr als die besten anerkannt?,אילו שחקני הוקי הוכרו כטובים ביותר השנה?,ما هم لاعبو الهوكي الذين تم الاعتراف بهم كأفضل هذا العام؟,哪些冰球运动员今年被公认为最优秀？,Какие хоккеисты признаны лучшими в этом году?
